       a               log(a)
   1.00000000       0.00000000    
   2.00000000      0.301030010    
   3.00000000      0.477121264    
   4.00000000      0.602060020    
   5.00000000      0.698970020    
   6.00000000      0.778151274    
   7.00000000      0.845098019    
   8.00000000      0.903090000    
   9.00000000      0.954242527    
   10.0000000       1.00000000    
   11.0000000       1.04139268    
   12.0000000       1.07918119    
   13.0000000       1.11394334    
   14.0000000       1.14612806    
   15.0000000       1.17609131    
   16.0000000       1.20412004    
   17.0000000       1.23044896    
   18.0000000       1.25527251    
   19.0000000       1.27875364    
   20.0000000       1.30103004    
   21.0000000       1.32221925    
   22.0000000       1.34242272    
   23.0000000       1.36172783    
   24.0000000       1.38021123    
   25.0000000       1.39794004    
   26.0000000       1.41497338    
   27.0000000       1.43136382    
   28.0000000       1.44715798    
   29.0000000       1.46239805    
   30.0000000       1.47712123    
   31.0000000       1.49136174    
   32.0000000       1.50514996    
   33.0000000       1.51851392    
   34.0000000       1.53147888    
   35.0000000       1.54406810    
   36.0000000       1.55630255    
   37.0000000       1.56820178    
   38.0000000       1.57978356    
   39.0000000       1.59106457    
   40.0000000       1.60205996    
   41.0000000       1.61278391    
   42.0000000       1.62324929    
   43.0000000       1.63346851    
   44.0000000       1.64345264    
   45.0000000       1.65321255    
   46.0000000       1.66275787    
   47.0000000       1.67209780    
   48.0000000       1.68124127    
   49.0000000       1.69019604    
   50.0000000       1.69896996    
   51.0000000       1.70757020    
   52.0000000       1.71600330    
   53.0000000       1.72427583    
   54.0000000       1.73239374    
   55.0000000       1.74036264    
   56.0000000       1.74818802    
   57.0000000       1.75587487    
   58.0000000       1.76342797    
   59.0000000       1.77085197    
   60.0000000       1.77815127    
   61.0000000       1.78532982    
   62.0000000       1.79239166    
   63.0000000       1.79934061    
   64.0000000       1.80618000    
   65.0000000       1.81291330    
   66.0000000       1.81954396    
   67.0000000       1.82607484    
   68.0000000       1.83250892    
   69.0000000       1.83884907    
   70.0000000       1.84509802    
   71.0000000       1.85125840    
   72.0000000       1.85733247    
   73.0000000       1.86332285    
   74.0000000       1.86923170    
   75.0000000       1.87506127    
   76.0000000       1.88081360    
   77.0000000       1.88649070    
   78.0000000       1.89209461    
   79.0000000       1.89762712    
   80.0000000       1.90309000    
   81.0000000       1.90848505    
   82.0000000       1.91381383    
   83.0000000       1.91907811    
   84.0000000       1.92427933    
   85.0000000       1.92941892    
   86.0000000       1.93449843    
   87.0000000       1.93951929    
   88.0000000       1.94448268    
   89.0000000       1.94939005    
   90.0000000       1.95424247    
   91.0000000       1.95904136    
   92.0000000       1.96378779    
   93.0000000       1.96848297    
   94.0000000       1.97312784    
   95.0000000       1.97772360    
   96.0000000       1.98227119    
   97.0000000       1.98677170    
   98.0000000       1.99122608    
   99.0000000       1.99563515    
   100.000000       2.00000000    
